Grupo;Espécie;Classe;Ordem;Família;Gênero;scientificNameAuthorship;vernacularName;lifeForm
Angiosperms;Eugenia uruguayensis;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;Cambess.;;Tree
Angiosperms;Euplassa cantareirae;Magnoliopsida;Proteales;Proteaceae;Euplassa;Sleumer;carvalho-brasileiro;Tree
Angiosperms;Euplassa nebularis;Magnoliopsida;Proteales;Proteaceae;Euplassa;Rambo & Sleumer;;"Shrub;Tree"
Angiosperms;Feijoa sellowiana;Magnoliopsida;Myrtales;Myrtaceae;Feijoa;(O.Berg) O.Berg;;"Shrub;Tree"
Angiosperms;Ficus luschnathiana;Magnoliopsida;Rosales;Moraceae;Ficus;(Miq.) Miq.;;Tree
Angiosperms;Gleditsia amorphoides;Magnoliopsida;Fabales;Fabaceae;Gleditsia;(Griseb.) Taub.;acucara-faveiro, sucara;Tree
Angiosperms;Guapira opposita;Magnoliopsida;Caryophyllales;Nyctaginaceae;Guapira;(Vell.) Reitz;farinha-seca, ciriba, pau-piranha, cebola, maria-mole;"Shrub;Tree"
Angiosperms;Guazuma ulmifolia;Magnoliopsida;Malvales;Malvaceae;Guazuma;Lam.;araticum-bravo, cabeca-de-negro, mutamba;Tree
Angiosperms;Gymnanthes klotzschiana;Magnoliopsida;Malpighiales;Euphorbiaceae;Gymnanthes;Müll.Arg.;branquinho, branquio, branquilho;"Shrub;Tree"
Angiosperms;Gymnanthes schottiana;Magnoliopsida;Malpighiales;Euphorbiaceae;Gymnanthes;Müll.Arg.;;"Shrub;Tree"
Angiosperms;Handroanthus serratifolius;Magnoliopsida;Lamiales;Bignoniaceae;Handroanthus;(Vahl) S.Grose;;Tree
Angiosperms;Hennecartia omphalandra;Magnoliopsida;Laurales;Monimiaceae;Hennecartia;J.Poiss.;arreganha, canema, gema-de-ovo, mata-olho-branco, pimenteira-do-mato;Tree
Angiosperms;Ilex brevicuspis;Magnoliopsida;Aquifoliales;Aquifoliaceae;Ilex;Reissek;cauna, orelha-de-mico;Tree
Angiosperms;Ilex microdonta;Magnoliopsida;Aquifoliales;Aquifoliaceae;Ilex;Reissek;;"Shrub;Tree"
Angiosperms;Ilex paraguariensis;Magnoliopsida;Aquifoliales;Aquifoliaceae;Ilex;A.St.-Hil.;erva-mate, mate, cha-mate;Tree
Angiosperms;Ilex taubertiana;Magnoliopsida;Aquifoliales;Aquifoliaceae;Ilex;Loes.;;Tree
Angiosperms;Inga lentiscifolia;Magnoliopsida;Fabales;Fabaceae;Inga;Benth.;;"Shrub;Tree"
Angiosperms;Inga sellowiana;Magnoliopsida;Fabales;Fabaceae;Inga;Benth.;inga-mirim, inga-ferro, inga-xixica, inga-xixi;"Shrub;Tree"
Angiosperms;Inga sessilis;Magnoliopsida;Fabales;Fabaceae;Inga;(Vell.) Mart.;inga-ferradura, inga-macaco;Tree
Angiosperms;Inga virescens;Magnoliopsida;Fabales;Fabaceae;Inga;Benth.;inga-verde;Tree
Angiosperms;Jacaranda puberula;Magnoliopsida;Lamiales;Bignoniaceae;Jacaranda;Cham.;caroba, carobinha;Tree
Angiosperms;Jacaratia spinosa;Magnoliopsida;Brassicales;Caricaceae;Jacaratia;(Aubl.) A.DC.;jaracatia, mamao jacatia, mamaozinho, mamao de porca, mamao-rana;Tree
Angiosperms;Laplacea fruticosa;Magnoliopsida;Ericales;Theaceae;Laplacea;(Schrad.) Kobuski;;"Shrub;Tree"
Angiosperms;Leandra purpureovillosa;Magnoliopsida;Myrtales;Melastomataceae;Leandra;Hoehne;;"Shrub;Tree"
Angiosperms;Leandra quinquedentata;Magnoliopsida;Myrtales;Melastomataceae;Leandra;(DC.) Cogn.;;"Shrub;Tree"
Angiosperms;Leandra quinquenodis;Magnoliopsida;Myrtales;Melastomataceae;Leandra;(DC.) Cogn.;;"Shrub;Tree"
Angiosperms;Leandra regnellii;Magnoliopsida;Myrtales;Melastomataceae;Leandra;(Triana) Cogn.;;"Shrub;Tree"
Angiosperms;Leandra reitzii;Magnoliopsida;Myrtales;Melastomataceae;Leandra;Wurdack;;"Shrub;Tree"
Angiosperms;Lithraea brasiliensis;Magnoliopsida;Sapindales;Anacardiaceae;Lithraea;Marchand;aroeira-brava;"Shrub;Tree"
Angiosperms;Lonchocarpus nitidus;Magnoliopsida;Fabales;Fabaceae;Lonchocarpus;(Vogel) Benth.;rabo-de-macaco, canela-branca;Tree
Angiosperms;Machaerium hatschbachii;Magnoliopsida;Fabales;Fabaceae;Machaerium;Rudd;jacaranda-de-espinho;Tree
Angiosperms;Machaerium paraguariense;Magnoliopsida;Fabales;Fabaceae;Machaerium;Hassl.;jacaranda-branco, sapuvao;Tree
Angiosperms;Machaerium stipitatum;Magnoliopsida;Fabales;Fabaceae;Machaerium;Vogel;sapuva, sapuvussu, farinha-seca, jacaranda-branco;Tree
Angiosperms;Margaritaria nobilis;Magnoliopsida;Malpighiales;Phyllanthaceae;Margaritaria;L.f.;botaozinho, cabelo-de-cotia, cafe-bravo, fruto-de-jacamin;"Shrub;Tree"
Angiosperms;Matayba cristae;Magnoliopsida;Sapindales;Sapindaceae;Matayba;Reitz;camboata, camboata-mirim, cubata-do-crista;Tree
Angiosperms;Matayba elaeagnoides;Magnoliopsida;Sapindales;Sapindaceae;Matayba;Radlk.;cuvanta, mataiba, miguel-pintado, pau-de-pombo, aroeira-branca, camboata, camboata-branco, craguata, crangoata, crangoata-branco;"Shrub;Tree"
Angiosperms;Maytenus boaria;Magnoliopsida;Celastrales;Celastraceae;Maytenus;Molina;;"Shrub;Tree"
Angiosperms;Meliosma sellowii;Magnoliopsida;Proteales;Sabiaceae;Meliosma;Urb.;canela-caju, pau-fernandes, canela-balao;Tree
Angiosperms;Miconia cinerascens;Magnoliopsida;Myrtales;Melastomataceae;Miconia;Miq.;;Tree
Angiosperms;Miconia dodecandra;Magnoliopsida;Myrtales;Melastomataceae;Miconia;Cogn.;;"Shrub;Tree"
Angiosperms;Miconia hyemalis;Magnoliopsida;Myrtales;Melastomataceae;Miconia;A.St.-Hil. & Naudin;;"Shrub;Tree"
Angiosperms;Miconia inconspicua;Magnoliopsida;Myrtales;Melastomataceae;Miconia;Miq.;;"Shrub;Tree"
Angiosperms;Miconia petropolitana;Magnoliopsida;Myrtales;Melastomataceae;Miconia;Cogn.;;"Shrub;Tree"
Angiosperms;Miconia pusilliflora;Magnoliopsida;Myrtales;Melastomataceae;Miconia;(DC.) Naudin;;"Shrub;Tree"
Angiosperms;Miconia ramboi;Magnoliopsida;Myrtales;Melastomataceae;Miconia;Brade;;"Shrub;Tree"
Angiosperms;Miconia sellowiana;Magnoliopsida;Myrtales;Melastomataceae;Miconia;Naudin;;"Shrub;Tree"
Angiosperms;Miconia tristis;Magnoliopsida;Myrtales;Melastomataceae;Miconia;Spring;;"Shrub;Tree"
Angiosperms;Mimosa flocculosa;Magnoliopsida;Fabales;Fabaceae;Mimosa;Burkart;;"Shrub;Tree"
Angiosperms;Mimosa scabrella;Magnoliopsida;Fabales;Fabaceae;Mimosa;Benth.;bracaatinga;Tree
Angiosperms;Mollinedia elegans;Magnoliopsida;Laurales;Monimiaceae;Mollinedia;Tul.;pimenteira;"Shrub;Tree"
Angiosperms;Monteverdia dasyclados;Magnoliopsida;Celastrales;Celastraceae;Monteverdia;(Mart.) Biral;;"Shrub;Tree"
Angiosperms;Monteverdia evonymoides;Magnoliopsida;Celastrales;Celastraceae;Monteverdia;(Reissek) Biral;;"Shrub;Tree"
Angiosperms;Monteverdia glaucescens;Magnoliopsida;Celastrales;Celastraceae;Monteverdia;(Reissek) Biral;;"Shrub;Tree"
Angiosperms;Monteverdia gonoclados;Magnoliopsida;Celastrales;Celastraceae;Monteverdia;(Mart.) Biral;seca-ligeiro;"Shrub;Tree"
Angiosperms;Muellera graciliflora;Magnoliopsida;Fabales;Fabaceae;Muellera;(M.J. Silva et al.) M.J. Silva & A.M.G. Azevedo;farinha-seca;Tree
Angiosperms;Myrceugenia acutata;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;D.Legrand;;"Shrub;Tree"
Angiosperms;Myrceugenia acutiflora;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;(Kiaersk.) D.Legrand & Kausel;;Tree
Angiosperms;Myrceugenia alpigena;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;(DC.) Landrum;;Tree
Angiosperms;Myrceugenia bocaiuvensis;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;Mattos;;Tree
Angiosperms;Myrceugenia bracteosa;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;(DC.) D.Legrand & Kausel;;Tree
Angiosperms;Myrceugenia cucullata;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;D.Legrand;;Tree
Angiosperms;Myrceugenia euosma;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;(O.Berg) D.Legrand;;Tree
Angiosperms;Myrceugenia franciscensis;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;(O.Berg) Landrum;;Tree
Angiosperms;Myrceugenia glaucescens;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;(Cambess.) D.Legrand & Kausel;;Tree
Angiosperms;Myrceugenia hatschbachii;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;Landrum;;Tree
Angiosperms;Myrceugenia hoehnei;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;(Burret) D.Legrand & Kausel;;Tree
Angiosperms;Myrceugenia kleinii;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;D.Legrand & Kausel;;Tree
Angiosperms;Myrceugenia miersiana;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;(Gardner) D.Legrand & Kausel;;Tree
Angiosperms;Myrceugenia myrcioides;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;(Cambess.) O.Berg;;Tree
Angiosperms;Myrceugenia ovalifolia;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;(O.Berg) Landrum;;Tree
Angiosperms;Myrceugenia oxysepala;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;(Burret) D.Legrand & Kausel;;"Shrub;Tree"
